Block Length,Entropy Plain Text,Entropy Cipher Text,CCMP Entropy MIC,CCMP Encryption Time,CCMP Encryption RAM,CCMP Encryption CPU,CCMP Decryption Time,CCMP Decryption RAM,CCMP Decryption CPU,GCMP Entropy MIC,GCMP Encryption Time,GCMP Encryption RAM,GCMP Encryption CPU,GCMP Decryption Time,GCMP Decryption RAM,GCMP Decryption CPU
13,4.115787794108538,7.059930020260432,4.0,4.773441000000002,22.0625,2.539470612000001,6.189263000000001,22.0625,48.55476823500001,4.0,3.2879080000000003,22.0625,14.700236668000002,2.8692019999999996,22.0625,1.5264154639999998
14,4.111948617670661,7.08592051862105,3.875,5.091201000000002,22.0625,2.708518932000001,6.432779,22.0625,53.630078523,4.0,3.4979679999999993,22.0625,16.576870351999997,2.9187440000000007,22.0625,1.5527718080000001
15,4.124767090640489,7.153486755790211,4.0,5.140130000000002,22.06640625,2.7345491600000007,6.848639000000001,22.06640625,60.46663373100001,3.875,3.6068289999999994,22.06640625,18.059392802999998,3.090568999999999,22.0703125,1.6441827079999995
16,4.1763457644177295,7.195156258464658,3.75,5.5219390000000015,22.0703125,2.937671548000001,7.883235000000003,22.0703125,73.47963343500003,4.0,3.9000819999999994,22.0703125,20.572932549999997,3.0301389999999984,22.0703125,1.6120339479999992
17,4.1966378141666905,7.204329624695917,4.0,5.759961999999999,22.0703125,3.0642997839999992,7.6583939999999995,22.0703125,75.15182032199999,3.75,3.988269,22.0703125,22.106975067,3.3613340000000016,22.07421875,1.7882296880000008
18,4.198908957051319,7.246014047987546,3.875,5.977732999999997,22.07421875,3.1801539559999985,8.004265000000002,22.07421875,82.48395082500002,3.875,4.368171,22.07421875,25.383441681000004,3.5909299999999993,22.07421875,1.9103747599999996
19,4.201054163707521,7.320815185482822,4.0,5.886585999999999,22.07421875,3.1316637519999997,8.449710000000001,22.07421875,91.23151887000002,3.875,4.572113000000002,22.07421875,27.79387492700001,3.9162040000000005,22.078125,2.083420528
20,4.176267886130165,7.31170674729471,4.0,6.411184999999998,22.08203125,3.410750419999999,8.744954000000002,22.08203125,98.721785706,4.0,4.648646000000001,22.08203125,29.504956162000006,3.8012009999999994,22.08203125,2.0222389319999996
21,4.170155843157323,7.355752367225731,4.0,6.475892999999998,22.08203125,3.445175075999999,9.307856,22.08203125,109.655851536,4.0,4.9072650000000015,22.08203125,32.46155797500001,3.7262650000000006,22.08203125,1.9823729800000003
22,4.174305464377403,7.404702692484477,4.0,6.854758000000002,22.08203125,3.646731256000001,9.497990000000003,22.08203125,116.56883127000003,4.0,5.030101999999999,22.08203125,34.622192066,3.840567000000001,22.08203125,2.0431816440000006
23,4.159213967006104,7.434597373130809,4.0,6.691568000000001,22.0859375,3.5599141760000004,10.003117000000003,22.0859375,127.68978850500002,3.75,5.203533000000001,22.0859375,37.21046448300001,4.081530000000001,22.09375,2.1713739600000004
24,4.175692363736798,7.445191871349092,4.0,7.1464669999999995,22.09765625,3.8019204439999994,10.39506,22.09765625,137.80731042000002,4.0,5.364627999999998,22.09765625,39.800175131999985,4.50447,22.09765625,2.39637804
25,4.1727367483631355,7.481453046431956,4.0,7.846177000000001,22.09765625,4.174166164000001,10.798535000000003,22.1015625,148.46905771500005,3.875,5.792983000000001,22.1015625,44.53066032100001,4.349803000000001,22.1015625,2.3140951960000007
26,4.162641033231114,7.534983358735474,4.0,7.791245000000001,22.1015625,4.14494234,11.114987999999997,22.1015625,158.28854410799997,4.0,5.833037000000002,22.1015625,46.40180933500002,4.838431,22.1015625,2.574045292
27,4.154475537020323,7.533307985736821,4.0,7.9870259999999975,22.10546875,4.249097831999999,11.514382000000003,22.10546875,169.64139000600005,3.75,5.976141,22.10546875,49.141807443,4.348168000000001,22.10546875,2.3132253760000006
28,4.15046686422642,7.542501107312624,4.0,9.860375999999999,22.109375,5.2457200319999995,11.935479000000003,22.109375,181.71766777500002,3.875,6.154139999999998,22.109375,52.25480273999998,4.498175999999998,22.11328125,2.393029631999999
29,4.163330647854119,7.557705472751996,4.0,13.792912999999995,22.11328125,7.351622628999998,12.213831,22.11328125,191.96478182700002,4.0,6.407001,22.11328125,56.118921758999996,5.016943999999999,22.11328125,2.669014207999999
30,4.202240015976499,7.580602857796763,3.702819531114783,9.585994,22.1171875,5.099748807999999,12.318471000000002,22.1171875,199.67009643900005,4.0,6.741638000000001,22.1171875,60.85676622600001,4.953831000000001,22.1171875,2.6354380920000002
31,4.193636942537576,7.6162507336437155,4.0,8.802829,22.12109375,4.683105028,13.805997000000001,22.12109375,230.57395589700005,4.0,6.763067000000002,22.12109375,62.86270776500002,4.899950000000003,22.12890625,2.6067734000000016
32,4.185683252187969,7.6249621603323705,3.75,9.774759,22.12890625,5.200171788,13.475296000000002,22.12890625,231.68076412800002,4.0,6.971703,22.12890625,66.670395789,5.457681999999999,22.12890625,2.903486824
33,4.206270904467379,7.6308232294020195,4.0,17.408883999999993,22.12890625,9.278935171999995,13.780085000000001,22.12890625,243.70080322500002,3.875,7.179049,22.12890625,70.577230719,5.263422000000002,22.12890625,2.800140504000001
34,4.2220369263582604,7.655165994131937,3.875,13.771807999999996,22.1328125,7.340373663999998,14.163436000000003,22.1328125,257.44877617200007,4.0,7.401497000000003,22.1328125,74.74771820300002,5.324975999999999,22.13671875,2.832887231999999
35,4.2168496333142915,7.657431742332957,4.0,11.715832999999998,22.13671875,6.244538989,14.543185000000003,22.140625,271.50672076500007,4.0,7.5785730000000004,22.140625,78.567066291,5.349284000000001,22.140625,2.8458190880000007
36,4.213650887683286,7.668123870200206,3.875,11.183813000000004,22.140625,5.960972329000002,14.950310000000002,22.140625,286.46288991,3.875,7.765970999999999,22.140625,82.59110158499998,5.715232999999999,22.14453125,3.0405039559999993
37,4.214509509787936,7.683407271357761,4.0,11.729140000000003,22.14453125,6.251631620000001,15.299197,22.14453125,300.675118641,3.875,8.035742,22.14453125,87.613695026,5.582591000000001,22.1484375,2.9699384120000003
38,4.21587780751252,7.702587277957222,3.875,12.117241000000002,22.1484375,6.458489453000001,15.681766999999999,22.1484375,315.909196215,4.0,8.19277,22.1484375,91.52143367000001,5.7831399999999995,22.15234375,3.0766304799999995
39,4.2188291164623966,7.701873347042383,4.0,11.529840000000002,22.15234375,6.145404720000001,15.964526000000003,22.15234375,329.4599230620001,3.875,8.360221,22.15234375,95.63256801899999,6.037644000000001,22.15625,3.2120266080000004
40,4.228345681081581,7.711422512207015,3.875,12.801282000000002,22.16015625,6.823083306000001,16.335135999999995,22.16015625,345.1450885439999,4.0,8.481629000000002,22.16015625,99.29443070300002,6.071718000000001,22.16796875,3.230153976
41,4.229901050283823,7.731674996979839,3.75,12.764655999999999,22.16796875,6.8163263039999995,16.899698000000004,22.16796875,365.3883704580001,4.0,8.679517000000002,22.16796875,103.93721607500004,6.255295999999998,22.17578125,3.3278174719999987
42,4.229793030556393,7.731426336614374,4.0,13.473804000000005,22.17578125,7.195011336000002,17.258741999999998,22.17578125,381.6425618459999,4.0,9.908463999999999,22.17578125,121.30932475199998,6.8566040000000035,22.18359375,3.647713328000002
43,4.229099369273065,7.731683046894185,3.875,14.014844000000005,22.18359375,7.483926696000003,17.789881,22.18359375,402.140260005,3.875,9.246483999999997,22.18359375,115.68276132399997,7.427576999999999,22.18359375,3.9588985409999995
44,4.232861570187843,7.741714515803044,4.0,13.602795000000004,22.19140625,7.250289735000003,17.879345999999998,22.19140625,412.95925456199996,4.0,9.198224,22.19140625,117.54410449599999,6.585909999999999,22.19140625,3.5037041199999996
45,4.231369128188399,7.750683575661417,3.875,16.237266999999996,22.19140625,8.654463310999997,17.990159000000006,22.19140625,424.3698606510001,3.875,9.486219,22.19140625,123.766699293,6.964428000000002,22.19140625,3.712040124000001
46,4.221250294130115,7.756399252758178,4.0,16.348920999999994,22.19921875,8.713974892999996,18.916447,22.19921875,455.52696020700006,4.0,9.812964999999997,22.19921875,130.65962897499995,7.021279000000003,22.19921875,3.742341707000002
47,4.2315284250504295,7.749365235938657,3.875,14.435073999999998,22.203125,7.6938944419999995,19.411639,22.203125,477.00220514700004,3.875,10.020404000000001,22.203125,136.107147532,7.124156999999999,22.2109375,3.7900515239999994
48,4.228965015662015,7.761455434892699,4.0,14.770840000000003,22.2109375,7.872857720000002,19.253115999999995,22.2109375,482.57935253999983,3.875,10.194733000000001,22.2109375,141.20724678300002,7.562118999999998,22.2109375,4.023047307999999
49,4.233934884714798,7.756441306247486,4.0,13.474926000000007,22.21484375,7.182135558000003,19.912524,22.21484375,508.90437586800005,4.0,10.268091000000004,22.21484375,144.97517682900005,7.442026,22.21875,3.959157832
50,4.231553511138154,7.772749990118082,4.0,14.924582000000001,22.22265625,7.954802206,19.843313,22.22265625,516.898460337,4.0,10.48806,22.22265625,150.89171922,7.545822,22.22265625,4.014377304
51,4.236383043259328,7.7725018287214,4.0,15.093329000000002,22.23046875,8.044744357,20.826426000000005,22.23046875,552.7541724660001,3.875,10.734623000000001,22.23046875,157.315900065,7.6211800000000025,22.23046875,4.054467760000001
52,4.238292083066955,7.7758022799862845,4.0,15.539056000000002,22.23046875,8.297855904000002,21.067624000000002,22.23046875,569.5210795920001,3.875,10.963653,22.23046875,163.610593719,8.654677000000001,22.23046875,4.604288164000001
53,4.241894934936058,7.7821000324641085,4.0,16.241913999999998,22.234375,8.673182075999998,21.02976,22.234375,578.8441439999999,3.875,11.140257999999996,22.234375,169.23165927799994,8.044598000000006,22.23828125,4.287770734000003
