Block Length,Entropy Plain Text,Entropy Cipher Text,CCMP Entropy MIC,CCMP Encryption Time,CCMP Encryption RAM,CCMP Encryption CPU,CCMP Decryption Time,CCMP Decryption RAM,CCMP Decryption CPU,GCMP Entropy MIC,GCMP Encryption Time,GCMP Encryption RAM,GCMP Encryption CPU,GCMP Decryption Time,GCMP Decryption RAM,GCMP Decryption CPU
58,4.245745491597192,7.777927217726087,3.875,9.709904000000003,22.296875,5.165668928000002,21.603392,22.3046875,363.736311104,4.0,2.3368500000000005,22.3046875,2.729893440000001,0.9585300000000003,22.30859375,7.896216150000002
59,4.245336179008885,7.783963584773233,4.0,8.305996,22.30859375,4.418789872,20.831273999999997,22.30859375,356.23561667399997,4.0,2.1055420000000002,22.30859375,2.7453270240000003,0.950598,22.30859375,7.198848098000001
60,4.255239639471551,7.789108403252875,4.0,8.466242999999995,22.31640625,4.504041275999997,20.81580499999999,22.31640625,361.4664538249998,4.0,2.0420110000000005,22.31640625,2.8878278400000004,0.9862800000000002,22.31640625,7.063316049000001
61,4.268438884481079,7.802986520786132,4.0,9.443636000000005,22.3203125,5.024014352000003,21.97138100000001,22.3203125,387.3334756490002,3.875,2.394660000000001,22.3203125,2.909245472,0.980204,22.328125,8.378915340000002
62,4.263318176124431,7.810224037656776,4.0,9.565824,22.33203125,5.089018368,22.512383999999997,22.33203125,402.81408691199994,4.0,2.286595,22.33203125,2.96760256,0.98657,22.33203125,8.092259705
63,4.27067222943623,7.811048909316697,3.875,11.570473999999999,22.33203125,6.155492167999999,24.884203000000003,22.33203125,451.82247387100006,4.0,2.3158689999999993,22.33203125,3.021372672,0.9912639999999999,22.33203125,8.288495150999998
64,4.269239965331311,7.810192451691884,3.875,9.622329999999998,22.33203125,5.119079559999999,23.025864000000006,22.33203125,424.1594407440001,3.875,2.5990240000000004,22.3359375,3.3880516960000002,1.097167,22.3359375,9.405867856000002
65,4.274102149420761,7.811939218089017,4.0,9.97558,22.3359375,5.307008560000001,23.22884800000001,22.3359375,434.0310248800002,4.0,2.3369370000000003,22.3359375,3.1850985119999997,1.018254,22.3359375,8.550852483000002
66,4.278905806285477,7.822001081649995,3.875,9.408195000000001,22.3359375,5.005159740000001,23.281096,22.3359375,441.153488104,4.0,2.260819,22.3359375,3.334212288,1.052466,22.3359375,8.362769481
67,4.277303044586596,7.824179652859931,4.0,9.798359000000003,22.3359375,5.212726988000002,23.59665800000001,22.3359375,453.3625901540002,3.875,2.2225370000000004,22.3359375,3.4239433120000005,1.067314,22.3359375,8.310065843000002
68,4.279617393636565,7.826133538164593,3.875,9.414724999999997,22.3359375,5.008633699999998,23.300959000000006,22.3359375,453.8327784430001,3.875,2.3619780000000006,22.3359375,3.7110446240000003,1.142563,22.3359375,8.925914862000003
69,4.275474504991069,7.828500654743609,4.0,9.792478999999998,22.3359375,5.209598827999999,23.876729,22.33984375,471.350507189,3.875,2.4722820000000003,22.33984375,3.5511353519999997,1.080029,22.33984375,9.441644958000001
70,4.275822715659522,7.835158652167519,4.0,10.149475000000002,22.33984375,5.399520700000002,24.365600000000004,22.33984375,487.4338280000001,3.875,2.4483200000000007,22.33984375,3.5832975360000003,1.0767120000000001,22.33984375,9.448066880000002
71,4.277253569711234,7.844413530500669,4.0,11.935692999999999,22.33984375,6.349788675999999,26.634929000000007,22.33984375,539.8633759010002,3.875,2.563463,22.33984375,3.715079136,1.103052,22.33984375,9.994942237
72,4.274960308686611,7.845384395217755,4.0,12.459728,22.34375,6.628575296,27.628165999999993,22.34375,567.2891324779998,4.0,2.551788,22.34375,3.920610912000001,1.1504140000000003,22.34375,10.051492932
73,4.275860938686294,7.843382051711625,3.875,10.219810000000003,22.34375,5.436938920000001,25.174901000000002,22.34375,523.5624160970001,3.875,2.4400470000000003,22.34375,3.8297798,1.110725,22.34375,9.708947013000001
74,4.28030063287275,7.8468353738296726,4.0,10.074596000000001,22.34375,5.359685072,25.035192000000002,22.34375,527.266178712,4.0,2.376441,22.34765625,3.9348720960000003,1.128117,22.34765625,9.550916379
75,4.277715125781824,7.847969470158924,3.875,13.236719999999996,22.34765625,7.0419350399999985,28.507543,22.34765625,607.923354475,4.0,2.554466,22.34765625,4.06083384,1.15103,22.34765625,10.368577494
76,4.272964962280454,7.850148758056238,3.875,12.038553,22.34765625,6.404510196,27.423856000000008,22.34765625,592.0536271840001,4.0,2.3899540000000004,22.34765625,3.9998992639999997,1.1210479999999998,22.34765625,9.796421446000002
77,4.273994698800465,7.8501068150189885,4.0,10.423112,22.34765625,5.545095584,26.222541,22.34765625,573.0411884729999,4.0,2.6439660000000003,22.34765625,4.2137651599999995,1.167895,22.34765625,10.943375274000001
78,4.273313537092011,7.849076250462296,4.0,11.282601000000001,22.34765625,6.002343732000001,27.185392000000007,22.34765625,601.2593148640001,3.875,2.6109329999999993,22.34765625,4.362376896,1.195827,22.34765625,10.911089006999998
79,4.269572803126954,7.851960378214916,4.0,12.452774,22.34765625,6.624875768,28.540584000000006,22.34765625,638.7668105040002,3.875,2.568822,22.34765625,4.342136872,1.1773689999999999,22.34765625,10.837860018
80,4.270862435999695,7.854808939026016,4.0,12.549101000000006,22.34765625,6.676121732000003,28.750844000000008,22.34765625,651.0628623800002,4.0,2.6382120000000007,22.34765625,4.632647664,1.2426630000000003,22.34765625,11.236144908000002
81,4.2706258431904685,7.852494895603073,4.0,11.921315999999997,22.34765625,6.342140111999999,28.589123,22.34765625,654.948218807,4.0,2.542504,22.34765625,4.537553712,1.204234,22.34765625,10.930224696
82,4.2788551857048205,7.853849517370893,3.875,17.068602000000002,22.34765625,9.080496264,33.729428,22.3515625,781.612035044,4.0,2.5580200000000017,22.3515625,4.74766208,1.2467599999999999,22.3515625,11.099248780000007
83,4.278405600214007,7.851418912763142,4.0,11.495519999999999,22.3515625,6.115616639999999,28.387719,22.3515625,665.3229702030001,3.875,2.4511649999999996,22.3515625,4.6423965119999995,1.2064439999999998,22.3515625,10.733651534999998
84,4.281146541558867,7.850185993292922,3.875,12.536692000000006,22.3515625,6.669520144000003,30.322877000000005,22.3515625,718.6825077770001,4.0,2.6557650000000006,22.3515625,4.871454048,1.2529460000000001,22.3515625,11.735825535000002
85,4.277213436138465,7.853986875537158,3.875,12.750062000000007,22.3515625,6.783032984000004,29.883026000000005,22.3515625,716.14671809,4.0,2.7573180000000006,22.3515625,5.089792416000001,1.2957720000000001,22.3515625,12.294880962000004
86,4.281259809049917,7.8496805478777185,4.0,13.557662000000006,22.3515625,7.212676184000003,30.878767000000003,22.3515625,748.1616456430002,3.75,2.7393429999999994,22.3515625,5.05231552,1.273265,22.3515625,12.324304156999998
87,4.283214786415348,7.854105497924083,4.0,12.754382,22.3515625,6.785331224,30.391421000000012,22.3515625,744.3770745530003,4.0,2.7164289999999998,22.3515625,4.997282616000001,1.2468270000000001,22.3515625,12.329871230999998
88,4.281049483516827,7.85698699993209,4.0,13.719072,22.3515625,7.298546304,31.416782000000005,22.35546875,777.7852719740001,4.0,2.786086,22.35546875,5.416337344,1.338028,22.35546875,12.757487794000001
89,4.280942102632208,7.859310870890312,4.0,13.604159999999998,22.35546875,7.237413119999999,31.542043,22.35546875,789.213457903,4.0,2.6728390000000015,22.35546875,5.187594328000001,1.2689810000000001,22.35546875,12.345843341000007
90,4.27963633010662,7.86124499406686,4.0,14.083065999999997,22.35546875,7.492191111999998,32.284515000000006,22.359375,816.3139617750002,3.875,2.8624529999999995,22.359375,5.773932672,1.398724,22.359375,13.336168526999998
91,4.288259618616634,7.86006326599155,4.0,15.227147000000008,22.359375,8.100842204000003,33.40563899999999,22.359375,853.4806708109996,4.0,2.6477850000000007,22.359375,5.529860656,1.326742,22.359375,12.441941715000002
92,4.28915030714539,7.86746053700377,4.0,14.571410000000004,22.359375,7.751990120000002,33.18464900000001,22.359375,856.5953446370003,4.0,2.845421000000001,22.359375,5.6700106880000005,1.347436,22.359375,13.484450119000003
93,4.2865296499342485,7.87390902860277,4.0,14.801303000000004,22.359375,7.874293196000002,33.446095,22.359375,872.1738193150001,3.875,2.7566989999999993,22.359375,5.7361806,1.350325,22.359375,13.174264520999996
94,4.2842238389833085,7.8741588369415085,3.875,15.376920000000002,22.359375,8.180521440000001,34.255585000000025,22.359375,902.3263644850007,3.875,2.807626000000001,22.359375,6.04876,1.410625,22.359375,13.529949694000004
95,4.286430277295599,7.875391753053735,4.0,16.110116999999992,22.359375,8.570582243999997,35.231228000000016,22.359375,937.3268209400004,4.0,2.7876829999999986,22.359375,5.937951080000001,1.3719850000000002,22.359375,13.545351696999994
96,4.288108105657269,7.875484028639065,4.0,14.24258500000001,22.359375,7.577055220000005,33.500053,22.359375,900.1129240570001,4.0,2.9254189999999993,22.359375,6.041503104,1.383128,22.359375,14.331627680999997
97,4.287364540788409,7.876596056859182,3.875,15.078254999999999,22.359375,8.021631659999999,46.445555000000006,22.359375,1260.207243815,3.875,2.9042600000000007,22.359375,6.099129200000002,1.3836500000000003,22.359375,14.344140140000002
98,4.289860422904834,7.876113169286552,4.0,14.273575000000001,22.36328125,7.5935419,34.018014,22.36328125,931.991529558,4.0,2.9506189999999997,22.36328125,6.245534656,1.404122,22.36328125,14.691132001
99,4.289649949478093,7.879403786378039,4.0,13.903358999999995,22.36328125,7.3965869879999975,33.828944,22.36328125,935.742419984,4.0,2.9524030000000003,22.36328125,6.48832404,1.445705,22.36328125,14.818110657
100,4.28669858472129,7.8799593662703975,4.0,15.713001,22.36328125,8.359316532000001,35.848773000000016,22.36328125,1001.0769860250005,4.0,3.0117890000000003,22.36328125,6.636245856,1.465602,22.36328125,15.236640551000002
